user_id,base_appid,dlc_appid,purchase_price_vnd
979e7b92-0abe-4be6-8814-922cc1ca285d,3602290,3963390,46200
979e7b92-0abe-4be6-8814-922cc1ca285d,3602290,4131790,85750
979e7b92-0abe-4be6-8814-922cc1ca285d,3602290,3963400,28350
a7b49ba1-3d59-4482-9804-f3e5b2d034b7,3321460,4572870,0
d8028cb1-628c-47db-871a-a099499e6541,1551360,3339980,89000
979e7b92-0abe-4be6-8814-922cc1ca285d,3602290,4669020,22050
979e7b92-0abe-4be6-8814-922cc1ca285d,3602290,3963430,28350
a0b4cb69-0fbd-4365-a57b-0bc1cc868d12,2358720,3288260,0
39a5f8c1-1c00-48e8-a9b9-2927c8065d4a,2483190,4440380,0
a0b4cb69-0fbd-4365-a57b-0bc1cc868d12,1903340,3873750,0
a0b4cb69-0fbd-4365-a57b-0bc1cc868d12,2277560,3653760,0
39a5f8c1-1c00-48e8-a9b9-2927c8065d4a,2483190,4439280,0
a0b4cb69-0fbd-4365-a57b-0bc1cc868d12,2277560,3653770,0
979e7b92-0abe-4be6-8814-922cc1ca285d,774171,2593750,490000
979e7b92-0abe-4be6-8814-922cc1ca285d,3602290,4669010,0
a0b4cb69-0fbd-4365-a57b-0bc1cc868d12,2277560,3758190,0
979e7b92-0abe-4be6-8814-922cc1ca285d,3602290,3963440,72450
979e7b92-0abe-4be6-8814-922cc1ca285d,3602290,3963410,37100
979e7b92-0abe-4be6-8814-922cc1ca285d,3602290,3963420,46200
d8028cb1-628c-47db-871a-a099499e6541,1721470,1817490,120000
300f10c4-1fca-421f-a984-97733dac6eac,2050650,2109315,0
d8028cb1-628c-47db-871a-a099499e6541,227300,4348650,71500
d45e5b03-96cd-49f6-a06e-73f18d95c94e,3602290,4669010,0
39a5f8c1-1c00-48e8-a9b9-2927c8065d4a,2483190,4439260,0
4c1b1613-b170-4dd2-927d-56c6196dc6c8,1868140,4394810,0
a0b4cb69-0fbd-4365-a57b-0bc1cc868d12,1903340,4227900,0
